id;course_id;quarter_no;week_no;topic;content_standards;performance_standards;created_by;created_date;last_modified_by;last_modified_date
1;1;1;1;patiently status;snoopy afore;mixture;gut frightfully;2026-07-05T20:09:53;boohoo ick provided;2026-07-06T01:05:39
2;1;1;2;doubtfully;wetly;offensively ugh and;vivaciously enroll;2026-07-06T12:46:49;put;2026-07-06T02:17:36
3;1;1;3;notwithstanding;sell platter;whether slather;variable indeed;2026-07-06T09:20:53;per boldly phooey;2026-07-06T13:39:58
4;1;1;4;doubter yuck diligently;hm;advanced draft incidentally;once closed;2026-07-06T05:00:36;innocently;2026-07-06T08:48:39
5;1;1;5;acknowledge busily;including toward save;those adventurously;wetly hose when;2026-07-06T12:22:00;anneal decriminalize;2026-07-06T14:02:18
6;1;1;6;procurement;deafening unfreeze;which;come amongst pantyhose;2026-07-05T20:20:25;hm;2026-07-06T05:33:33
7;1;1;7;dispense in-joke;valuable entomb qua;meanwhile although behind;dwell;2026-07-06T08:08:55;help;2026-07-05T20:01:59
8;1;1;8;revoke rust wonderfully;brr ethical;ew;marathon;2026-07-06T07:04:34;nor conversation;2026-07-06T09:09:08
9;1;2;1;terribly;mmm quick-witted compete;bowling hovel sightseeing;consistency;2026-07-06T01:33:19;by youthfully;2026-07-06T09:47:14
10;1;2;2;sticker excepting;whoever ape up;shampoo intently;proper scratch;2026-07-06T06:38:36;overconfidently;2026-07-06T09:02:49
11;1;2;3;impractical wherever until;minister numeric;wherever;so;2026-07-06T11:48:04;considering wallop aha;2026-07-06T08:17:44
12;1;2;4;modulo gah;pfft spork;consequently;abaft;2026-07-05T20:50:38;inasmuch;2026-07-06T13:05:54
13;1;2;5;forenenst geez mill;frankly;summary blah sentimental;beneath markup;2026-07-05T17:37:18;an;2026-07-06T12:10:10
14;1;2;6;yak;confused unimpressively drag;outside trek;t-shirt yahoo doting;2026-07-06T06:50:31;innocent;2026-07-06T09:08:37
15;1;2;7;gadzooks;including;glittering junior;fathom boo aside;2026-07-05T21:40:08;scorpion astride;2026-07-06T04:13:26
16;1;2;8;object inasmuch acquaintance;boo now ugly;whoa meanwhile;brr unless luck;2026-07-06T01:17:03;needy;2026-07-06T00:17:46
17;1;3;1;lend;past;bony;horse;2026-07-06T04:51:35;astride;2026-07-06T06:29:09
18;1;3;2;pfft devil gosh;since masquerade glossy;formamide solace qua;paintwork assist warp;2026-07-06T02:09:50;ostrich patiently supposing;2026-07-05T18:56:37
19;1;3;3;fervently optimal blah;dazzling;provided;doting before ouch;2026-07-05T18:47:12;whoever;2026-07-06T05:01:25
20;1;3;4;unless instructive huzzah;reach annually;stealthily meh trial;which;2026-07-06T02:16:51;cinch;2026-07-06T10:35:14
21;1;3;5;psst;even;transcend;alongside gadzooks;2026-07-06T06:51:14;conceal considering watery;2026-07-06T00:33:17
22;1;3;6;jealously;pfft yowza;bitterly;tensely softly;2026-07-06T00:38:42;likewise eulogise fooey;2026-07-06T05:21:26
23;1;3;7;colorful eyebrow commonly;sandbar;enormously;colorfully;2026-07-05T23:25:53;sinful recount;2026-07-06T10:03:10
24;1;4;1;insistent;dime internalise;yet;simple exactly cannon;2026-07-06T02:01:35;yahoo;2026-07-05T15:08:49
25;1;4;2;but warp adaptation;though jovially nervously;patiently instead woot;between aching;2026-07-06T09:13:03;lampoon jealous;2026-07-06T11:08:53
26;1;4;3;while;forenenst;as lovingly;impossible;2026-07-05T20:55:55;moisten within near;2026-07-05T20:34:09
27;1;4;4;whoever gadzooks favorite;fruitful anti;dishearten lively supposing;oof;2026-07-06T01:28:51;galvanize colligate;2026-07-06T08:06:44
28;1;4;5;shimmering jagged good;boo questionably separately;lanky except surge;amidst glider utterly;2026-07-06T09:31:06;because sand;2026-07-05T21:54:08
29;1;4;6;solicit gosh as;lobster;trouser faithfully;arbitrate furiously;2026-07-05T22:20:36;hm plumber;2026-07-05T19:14:27
30;1;4;7;yearly ruddy;except;singing;er guide;2026-07-06T01:15:00;nicely exactly;2026-07-06T11:39:14
